Linux 3.19.0-28-generic (storm6) 	04/14/2016 	_x86_64_	(1 CPU)

03:37:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:37:32 PM     all     39.30      0.00     14.43      0.00      0.00     46.27
03:37:34 PM     all     39.80      0.00     15.82      0.00      0.00     44.39
03:37:36 PM     all     43.22      0.00     13.57      0.00      0.00     43.22
03:37:38 PM     all     40.61      0.00     14.72      0.00      0.00     44.67
03:37:40 PM     all     42.42      0.00     15.15      0.00      0.00     42.42
03:37:42 PM     all     41.05      0.00     16.84      0.00      0.00     42.11
03:37:44 PM     all     41.58      0.00     15.35      0.00      0.00     43.07
03:37:46 PM     all     36.41      0.00     16.92      0.00      0.00     46.67
03:37:48 PM     all     41.03      0.00     13.33      0.00      0.00     45.64
03:37:50 PM     all     38.86      0.00     14.51      0.00      0.00     46.63
03:37:52 PM     all     36.17      0.00     16.49      0.00      0.00     47.34
03:37:54 PM     all     41.97      0.00     12.95      0.00      0.00     45.08
03:37:56 PM     all     40.31      0.00     18.37      0.00      0.00     41.33
03:37:58 PM     all     42.58      0.00     14.83      0.00      0.00     42.58
03:38:00 PM     all     44.39      0.00     13.27      0.00      0.00     42.35
03:38:02 PM     all     35.35      0.00     17.17      0.00      0.00     47.47
03:38:04 PM     all     42.21      0.00     14.57      0.00      0.00     43.22
03:38:06 PM     all     42.56      0.00     13.33      0.00      0.00     44.10
03:38:08 PM     all     42.05      0.00     15.90      0.00      0.00     42.05
03:38:10 PM     all     40.31      0.00     14.80      0.00      0.00     44.90
03:38:12 PM     all     39.09      0.00     14.72      0.51      0.00     45.69
03:38:14 PM     all     37.17      0.00     14.66      0.00      0.00     48.17
03:38:16 PM     all     39.09      0.00     16.75      0.00      0.00     44.16
03:38:18 PM     all     41.71      0.00     15.58      0.00      0.00     42.71
03:38:20 PM     all     38.10      0.00     14.29      0.00      0.00     47.62
03:38:22 PM     all     40.50      0.00     16.00      0.00      0.00     43.50
03:38:24 PM     all     42.71      0.00     13.57      0.00      0.00     43.72
03:38:26 PM     all     41.21      0.00     16.58      0.00      0.00     42.21
03:38:28 PM     all     36.27      0.00     16.58      0.00      0.00     47.15
03:38:30 PM     all     40.80      0.00     14.93      0.00      0.00     44.28
03:38:32 PM     all     41.67      0.00     15.62      0.00      0.00     42.71
03:38:34 PM     all     41.71      0.00     14.07      0.00      0.00     44.22
03:38:36 PM     all     39.41      0.00     16.75      0.00      0.00     43.84
03:38:38 PM     all     40.80      0.00     15.42      0.00      0.00     43.78
03:38:40 PM     all     38.14      0.00     13.92      0.00      0.00     47.94
03:38:42 PM     all     38.34      0.00     14.51      0.00      0.00     47.15
03:38:44 PM     all     39.50      0.00     17.00      0.00      0.00     43.50
03:38:46 PM     all     39.00      0.00     16.50      0.00      0.00     44.50
03:38:48 PM     all     39.80      0.00     18.91      0.00      0.00     41.29
03:38:50 PM     all     40.62      0.00     16.15      0.00      0.00     43.23
03:38:52 PM     all     40.31      0.00     13.61      0.52      0.00     45.55
03:38:54 PM     all     40.51      0.00     13.85      0.00      0.00     45.64
03:38:56 PM     all     36.27      0.00     19.17      0.00      0.00     44.56
03:38:58 PM     all     42.64      0.00     12.69      0.00      0.00     44.67
03:39:00 PM     all     40.21      0.00     15.46      0.00      0.00     44.33
03:39:02 PM     all     41.88      0.00     13.09      0.00      0.00     45.03
03:39:04 PM     all     41.62      0.00     14.21      0.00      0.00     44.16
03:39:06 PM     all     40.70      0.00     15.08      0.00      0.00     44.22
