Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

03:32:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:32:27 PM     all     46.56      0.00     18.52      0.00      0.00     34.92
03:32:29 PM     all     37.10      0.00     18.28      0.00      0.00     44.62
03:32:31 PM     all     48.51      0.00     17.82      0.00      0.00     33.66
03:32:33 PM     all     40.31      0.00     19.39      0.00      0.00     40.31
03:32:35 PM     all     36.41      0.00     16.41      0.00      0.00     47.18
03:32:37 PM     all     36.87      0.00     19.19      0.51      0.00     43.43
03:32:39 PM     all     38.54      0.00     16.15      0.00      0.00     45.31
03:32:41 PM     all     38.10      0.00     16.40      0.00      0.00     45.50
03:32:43 PM     all     40.72      0.00     18.56      0.00      0.00     40.72
03:32:45 PM     all     37.70      0.00     18.32      0.00      0.00     43.98
03:32:47 PM     all     38.10      0.00     19.05      0.00      0.00     42.86
03:32:49 PM     all     43.15      0.00     16.75      0.00      0.00     40.10
03:32:51 PM     all     40.41      0.00     20.21      0.00      0.00     39.38
03:32:53 PM     all     38.83      0.00     17.02      0.00      0.00     44.15
03:32:55 PM     all     40.61      0.00     19.29      0.00      0.00     40.10
03:32:57 PM     all     37.44      0.00     17.95      0.00      0.00     44.62
03:32:59 PM     all     39.69      0.00     17.53      0.00      0.00     42.78
03:33:01 PM     all     43.48      0.00     16.85      0.00      0.00     39.67
03:33:03 PM     all     37.37      0.00     17.68      0.00      0.00     44.95
03:33:05 PM     all     43.81      0.00     15.98      0.00      0.00     40.21
03:33:07 PM     all     47.96      0.00     18.88      0.00      0.00     33.16
03:33:09 PM     all     47.18      0.00     18.97      0.00      0.00     33.85
03:33:11 PM     all     37.50      0.00     19.79      0.00      0.00     42.71
03:33:13 PM     all     39.69      0.00     18.04      0.00      0.00     42.27
03:33:15 PM     all     39.27      0.00     17.28      0.00      0.00     43.46
03:33:17 PM     all     42.93      0.00     18.05      0.00      0.00     39.02
03:33:19 PM     all     36.84      0.00     20.53      0.00      0.00     42.63
03:33:21 PM     all     38.54      0.00     16.67      0.00      0.00     44.79
03:33:23 PM     all     38.19      0.00     19.60      0.50      0.00     41.71
03:33:25 PM     all     37.37      0.00     17.89      0.00      0.00     44.74
03:33:27 PM     all     38.58      0.00     20.30      0.00      0.00     41.12
03:33:29 PM     all     40.00      0.00     16.41      0.00      0.00     43.59
03:33:31 PM     all     47.85      0.00     16.67      0.00      0.00     35.48
03:33:33 PM     all     53.03      0.00     18.69      0.00      0.00     28.28
03:33:35 PM     all     40.72      0.00     19.59      0.00      0.00     39.69
03:33:37 PM     all     38.46      0.00     21.03      0.00      0.00     40.51
03:33:39 PM     all     45.79      0.00     18.95      0.00      0.00     35.26
03:33:41 PM     all     46.67      0.00     22.05      0.00      0.00     31.28
03:33:43 PM     all     47.92      0.00     18.23      0.00      0.00     33.85
03:33:45 PM     all     46.03      0.00     17.46      0.00      0.00     36.51
03:33:47 PM     all     42.11      0.00     20.53      0.00      0.00     37.37
03:33:49 PM     all     40.86      0.00     19.89      0.00      0.00     39.25
03:33:51 PM     all     39.90      0.00     16.67      0.00      0.00     43.43
03:33:53 PM     all     38.92      0.00     14.59      0.00      0.00     46.49
03:33:55 PM     all     37.17      0.00     18.32      0.00      0.00     44.50
03:33:57 PM     all     42.21      0.00     17.09      0.00      0.00     40.70
03:33:59 PM     all     41.84      0.00     18.37      0.00      0.00     39.80
03:34:01 PM     all     42.56      0.00     18.46      0.00      0.00     38.97
03:34:03 PM     all     43.43      0.00     22.22      0.00      0.00     34.34
03:34:05 PM     all     38.22      0.00     15.71      0.00      0.00     46.07
03:34:07 PM     all     37.44      0.00     16.92      0.00      0.00     45.64
03:34:09 PM     all     40.50      0.00     16.00      0.00      0.00     43.50
03:34:11 PM     all     36.13      0.00     17.28      0.00      0.00     46.60
03:34:13 PM     all     40.61      0.00     17.26      0.00      0.00     42.13
03:34:15 PM     all     41.33      0.00     15.82      0.00      0.00     42.86
03:34:17 PM     all     39.79      0.00     14.14      0.00      0.00     46.07
03:34:19 PM     all     36.92      0.00     18.97      0.00      0.00     44.10
03:34:21 PM     all     38.34      0.00     19.17      0.00      0.00     42.49
03:34:23 PM     all     35.60      0.00     16.75      0.00      0.00     47.64
03:34:25 PM     all     39.06      0.00     16.67      0.00      0.00     44.27
03:34:27 PM     all     42.27      0.00     17.53      0.00      0.00     40.21
03:34:29 PM     all     36.41      0.00     20.00      0.00      0.00     43.59
03:34:31 PM     all     37.04      0.00     17.46      0.00      0.00     45.50
03:34:33 PM     all     38.42      0.00     15.26      0.53      0.00     45.79
03:34:35 PM     all     32.47      0.00     20.62      0.00      0.00     46.91
03:34:37 PM     all     35.23      0.00     17.62      0.00      0.00     47.15
03:34:39 PM     all     36.08      0.00     18.56      0.00      0.00     45.36
03:34:41 PM     all     33.68      0.00     19.47      0.00      0.00     46.84
03:34:43 PM     all     41.88      0.00     14.14      0.00      0.00     43.98
03:34:45 PM     all     38.10      0.00     15.87      0.00      0.00     46.03
03:34:47 PM     all     37.31      0.00     15.54      0.00      0.00     47.15
03:34:49 PM     all     40.84      0.00     15.71      0.00      0.00     43.46
03:34:51 PM     all     40.10      0.00     18.23      0.00      0.00     41.67
03:34:53 PM     all     36.84      0.00     16.32      0.00      0.00     46.84
03:34:55 PM     all     41.67      0.00     15.10      0.00      0.00     43.23
03:34:57 PM     all     39.79      0.00     14.66      0.00      0.00     45.55
03:34:59 PM     all     39.78      0.00     19.89      0.00      0.00     40.32
03:35:01 PM     all     43.37      0.00     15.82      0.51      0.00     40.31
03:35:03 PM     all     41.71      0.00     18.18      0.00      0.00     40.11
03:35:05 PM     all     42.64      0.00     15.74      0.00      0.00     41.62
03:35:07 PM     all     39.57      0.00     18.72      0.00      0.00     41.71
03:35:09 PM     all     41.79      0.00     22.39      0.00      0.00     35.82
03:35:11 PM     all     37.97      0.00     14.44      0.00      0.00     47.59
03:35:13 PM     all     39.49      0.00     15.90      0.00      0.00     44.62
03:35:15 PM     all     39.69      0.00     15.46      0.00      0.00     44.85
03:35:17 PM     all     37.10      0.00     16.13      0.00      0.00     46.77
03:35:19 PM     all     40.31      0.00     13.78      0.00      0.00     45.92
03:35:21 PM     all     35.26      0.00     16.84      0.00      0.00     47.89
03:35:23 PM     all     35.71      0.00     21.94      0.00      0.00     42.35
03:35:25 PM     all     36.32      0.00     16.32      0.00      0.00     47.37
03:35:27 PM     all     34.92      0.00     18.52      0.00      0.00     46.56
03:35:29 PM     all     32.99      0.00     18.78      0.00      0.00     48.22
03:35:31 PM     all     41.84      0.00     18.88      0.00      0.00     39.29
03:35:33 PM     all     41.88      0.00     16.23      0.52      0.00     41.36
03:35:35 PM     all     33.85      0.00     17.95      0.00      0.00     48.21
03:35:37 PM     all     39.36      0.00     14.36      0.00      0.00     46.28
03:35:39 PM     all     43.46      0.00     16.75      0.00      0.00     39.79
03:35:41 PM     all     37.82      0.00     19.17      0.00      0.00     43.01
03:35:43 PM     all     36.73      0.00     18.88      0.00      0.00     44.39
03:35:45 PM     all     39.79      0.00     15.18      0.00      0.00     45.03
03:35:47 PM     all     37.31      0.00     18.65      0.00      0.00     44.04
03:35:49 PM     all     41.41      0.00     19.70      0.00      0.00     38.89
03:35:51 PM     all     40.00      0.00     15.90      0.00      0.00     44.10
03:35:53 PM     all     36.76      0.00     20.00      0.00      0.00     43.24
03:35:55 PM     all     40.72      0.00     17.01      0.00      0.00     42.27
03:35:57 PM     all     41.41      0.00     16.67      0.00      0.00     41.92
03:35:59 PM     all     41.75      0.00     17.01      0.00      0.00     41.24
03:36:01 PM     all     45.60      0.00     14.51      0.00      0.00     39.90
03:36:03 PM     all     35.94      0.00     19.27      0.00      0.00     44.79
03:36:05 PM     all     38.07      0.00     17.26      0.00      0.00     44.67
03:36:07 PM     all     39.69      0.00     17.53      0.00      0.00     42.78
03:36:09 PM     all     45.79      0.00     17.37      0.00      0.00     36.84
03:36:11 PM     all     43.92      0.00     17.99      0.00      0.00     38.10
03:36:13 PM     all     39.68      0.00     20.11      0.00      0.00     40.21
03:36:15 PM     all     42.49      0.00     17.10      0.00      0.00     40.41
03:36:17 PM     all     38.54      0.00     20.83      0.52      0.00     40.10
03:36:19 PM     all     42.70      0.00     19.46      0.00      0.00     37.84
03:36:21 PM     all     44.39      0.00     16.84      0.00      0.00     38.78
03:36:23 PM     all     42.41      0.00     19.37      0.00      0.00     38.22
03:36:25 PM     all     42.55      0.00     18.09      0.00      0.00     39.36
03:36:27 PM     all     45.69      0.00     17.26      0.00      0.00     37.06
03:36:29 PM     all     37.10      0.00     18.82      0.00      0.00     44.09
03:36:31 PM     all     43.52      0.00     19.69      0.00      0.00     36.79
03:36:33 PM     all     38.97      0.00     18.97      0.00      0.00     42.05
03:36:35 PM     all     39.20      0.00     19.10      0.00      0.00     41.71
03:36:37 PM     all     41.24      0.00     21.13      0.00      0.00     37.63
03:36:39 PM     all     42.27      0.00     19.07      0.00      0.00     38.66
03:36:41 PM     all     46.39      0.00     20.62      0.00      0.00     32.99
03:36:43 PM     all     45.69      0.00     18.27      0.00      0.00     36.04
03:36:45 PM     all     39.18      0.00     19.59      0.00      0.00     41.24
03:36:47 PM     all     43.65      0.00     14.21      0.00      0.00     42.13
03:36:49 PM     all     44.67      0.00     18.27      0.00      0.00     37.06
