Linux 3.19.0-28-generic (storm6) 	04/14/2016 	_x86_64_	(1 CPU)

05:10:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:10:47 PM     all     14.65      0.00      3.54      0.00      0.00     81.82
05:10:49 PM     all     15.50      0.00      4.50      0.00      0.00     80.00
05:10:51 PM     all     16.67      0.00      5.56      0.00      0.00     77.78
05:10:53 PM     all     15.69      0.00      4.90      0.00      0.00     79.41
05:10:55 PM     all     13.40      0.00      3.61      0.00      0.00     82.99
05:10:57 PM     all     13.85      0.00      3.08      0.00      0.00     83.08
05:10:59 PM     all     13.27      0.00      3.57      0.51      0.00     82.65
05:11:01 PM     all     12.63      0.00      5.05      0.00      0.00     82.32
05:11:03 PM     all     12.24      0.00      5.10      0.00      0.00     82.65
05:11:05 PM     all     15.38      0.00      4.62      0.00      0.00     80.00
05:11:07 PM     all     13.54      0.00      5.21      0.00      0.00     81.25
05:11:09 PM     all     17.35      0.00      5.10      0.00      0.00     77.55
05:11:11 PM     all     16.58      0.00      4.02      0.00      0.00     79.40
05:11:13 PM     all     16.50      0.00      4.00      0.00      0.00     79.50
05:11:15 PM     all     12.24      0.00      5.10      0.00      0.00     82.65
05:11:17 PM     all     14.21      0.00      3.55      0.00      0.00     82.23
05:11:19 PM     all      8.51      0.00      4.26      0.53      0.00     86.70
05:11:21 PM     all     12.63      0.00      4.55      0.00      0.00     82.83
05:11:23 PM     all     12.00      0.00      5.00      0.00      0.00     83.00
05:11:25 PM     all     12.82      0.00      3.08      0.00      0.00     84.10
05:11:27 PM     all     12.37      0.00      2.58      0.00      0.00     85.05
05:11:29 PM     all     15.58      0.00      6.53      0.00      0.00     77.89
05:11:31 PM     all     13.85      0.00      4.10      0.00      0.00     82.05
05:11:33 PM     all     14.07      0.00      4.02      0.00      0.00     81.91
05:11:35 PM     all     13.54      0.00      3.12      0.00      0.00     83.33
05:11:37 PM     all     13.20      0.00      5.58      0.00      0.00     81.22
05:11:39 PM     all     10.20      0.00      5.10      0.00      0.00     84.69
05:11:41 PM     all     13.27      0.00      3.57      0.00      0.00     83.16
05:11:43 PM     all     12.24      0.00      4.08      0.00      0.00     83.67
05:11:45 PM     all     13.73      0.00      6.86      0.00      0.00     79.41
05:11:47 PM     all     15.15      0.00      3.03      0.00      0.00     81.82
05:11:49 PM     all     15.31      0.00      5.10      0.00      0.00     79.59
05:11:51 PM     all     16.58      0.00      5.03      0.00      0.00     78.39
05:11:53 PM     all     14.80      0.00      3.57      0.51      0.00     81.12
05:11:55 PM     all     12.44      0.00      3.11      0.00      0.00     84.46
05:11:57 PM     all     14.50      0.00      5.00      0.00      0.00     80.50
05:11:59 PM     all     10.71      0.00      5.61      0.00      0.00     83.67
05:12:01 PM     all     11.28      0.00      3.59      0.00      0.00     85.13
05:12:03 PM     all     14.72      0.00      3.05      0.00      0.00     82.23
05:12:05 PM     all     14.43      0.00      3.61      0.00      0.00     81.96
05:12:07 PM     all     11.79      0.00      6.15      0.00      0.00     82.05
05:12:09 PM     all     17.95      0.00      3.08      0.00      0.00     78.97
05:12:11 PM     all     12.94      0.00      5.47      0.00      0.00     81.59
05:12:13 PM     all     14.07      0.00      4.02      0.50      0.00     81.41
05:12:15 PM     all     14.87      0.00      3.08      0.00      0.00     82.05
05:12:17 PM     all     15.15      0.00      5.05      0.00      0.00     79.80
05:12:19 PM     all     15.84      0.00      5.94      0.00      0.00     78.22
05:12:21 PM     all     15.50      0.00      4.50      0.00      0.00     80.00
05:12:23 PM     all     14.57      0.00      6.03      0.00      0.00     79.40
05:12:25 PM     all     14.87      0.00      3.08      0.00      0.00     82.05
05:12:27 PM     all     12.44      0.00      3.63      0.00      0.00     83.94
05:12:29 PM     all     15.31      0.00      3.06      0.00      0.00     81.63
05:12:31 PM     all     12.69      0.00      4.57      0.00      0.00     82.74
05:12:33 PM     all     12.04      0.00      4.19      0.00      0.00     83.77
05:12:35 PM     all     11.40      0.00      3.63      0.00      0.00     84.97
05:12:37 PM     all     12.69      0.00      5.08      0.00      0.00     82.23
05:12:39 PM     all     15.66      0.00      3.54      0.00      0.00     80.81
05:12:41 PM     all     15.50      0.00      3.50      0.00      0.00     81.00
05:12:43 PM     all     13.78      0.00      3.06      0.51      0.00     82.65
05:12:45 PM     all     12.63      0.00      6.06      0.00      0.00     81.31
05:12:47 PM     all     12.44      0.00      2.59      0.00      0.00     84.97
05:12:49 PM     all     15.50      0.00      4.50      0.00      0.00     80.00
05:12:51 PM     all     13.92      0.00      4.12      0.00      0.00     81.96
05:12:53 PM     all     13.93      0.00      3.98      0.00      0.00     82.09
05:12:55 PM     all     14.36      0.00      3.59      0.00      0.00     82.05
05:12:57 PM     all     11.52      0.00      3.66      0.00      0.00     84.82
05:12:59 PM     all     12.12      0.00      5.05      0.00      0.00     82.83
05:13:01 PM     all     10.88      0.00      4.66      0.00      0.00     84.46
05:13:03 PM     all     15.31      0.00      3.57      0.51      0.00     80.61
05:13:05 PM     all     12.50      0.00      3.12      0.00      0.00     84.38
05:13:07 PM     all     11.92      0.00      4.66      0.00      0.00     83.42
05:13:09 PM     all     14.22      0.00      6.37      0.00      0.00     79.41
05:13:11 PM     all     14.65      0.00      4.55      0.00      0.00     80.81
05:13:13 PM     all     12.82      0.00      5.13      0.00      0.00     82.05
05:13:15 PM     all     13.50      0.00      5.00      0.00      0.00     81.50
05:13:17 PM     all     12.24      0.00      4.59      0.00      0.00     83.16
05:13:19 PM     all     13.20      0.00      5.58      0.00      0.00     81.22
05:13:21 PM     all     13.50      0.00      5.50      0.00      0.00     81.00
05:13:23 PM     all     12.18      0.00      4.57      0.00      0.00     83.25
05:13:25 PM     all     13.92      0.00      4.12      0.00      0.00     81.96
05:13:27 PM     all     14.07      0.00      4.02      0.00      0.00     81.91
05:13:29 PM     all     14.21      0.00      3.55      0.00      0.00     82.23
05:13:31 PM     all     11.98      0.00      4.17      0.00      0.00     83.85
05:13:33 PM     all     14.80      0.00      4.08      0.00      0.00     81.12
05:13:35 PM     all     11.86      0.00      4.12      0.00      0.00     84.02
05:13:37 PM     all     14.36      0.00      4.95      0.00      0.00     80.69
05:13:39 PM     all     14.36      0.00      3.08      0.51      0.00     82.05
05:13:41 PM     all     15.74      0.00      2.54      0.00      0.00     81.73
05:13:43 PM     all     15.66      0.00      3.54      0.00      0.00     80.81
05:13:45 PM     all     13.33      0.00      4.10      0.00      0.00     82.56
05:13:47 PM     all     12.31      0.00      4.10      0.00      0.00     83.59
05:13:49 PM     all     14.57      0.00      5.03      0.00      0.00     80.40
05:13:51 PM     all     16.00      0.00      4.50      0.00      0.00     79.50
05:13:53 PM     all     14.57      0.00      4.52      0.00      0.00     80.90
05:13:55 PM     all     12.24      0.00      5.61      0.00      0.00     82.14
05:13:57 PM     all     12.82      0.00      5.13      0.00      0.00     82.05
05:13:59 PM     all     13.20      0.00      3.05      0.51      0.00     83.25
05:14:01 PM     all     11.28      0.00      5.64      0.00      0.00     83.08
05:14:03 PM     all     14.29      0.00      4.08      0.00      0.00     81.63
05:14:05 PM     all     13.64      0.00      3.54      0.00      0.00     82.83
05:14:07 PM     all     14.07      0.00      4.52      0.00      0.00     81.41
05:14:09 PM     all     15.35      0.00      3.47      0.50      0.00     80.69
05:14:11 PM     all     12.69      0.00      4.57      0.00      0.00     82.74
05:14:13 PM     all     13.33      0.00      4.62      0.00      0.00     82.05
05:14:15 PM     all     11.56      0.00      6.03      0.00      0.00     82.41
05:14:17 PM     all     11.34      0.00      4.12      0.00      0.00     84.54
05:14:19 PM     all     15.35      0.00      4.46      0.00      0.00     80.20
05:14:21 PM     all     14.50      0.00      4.50      0.00      0.00     81.00
05:14:23 PM     all     12.94      0.00      4.98      0.00      0.00     82.09
05:14:25 PM     all     13.57      0.00      4.52      0.00      0.00     81.91
05:14:27 PM     all     12.24      0.00      4.59      0.00      0.00     83.16
05:14:29 PM     all     13.00      0.00      5.00      0.50      0.00     81.50
05:14:31 PM     all     11.79      0.00      4.62      0.00      0.00     83.59
05:14:33 PM     all     18.00      0.00      5.00      0.00      0.00     77.00
05:14:35 PM     all     14.72      0.00      6.09      0.00      0.00     79.19
05:14:37 PM     all     14.80      0.00      5.10      0.00      0.00     80.10
05:14:39 PM     all     15.82      0.00      3.57      0.00      0.00     80.61
05:14:41 PM     all     13.00      0.00      6.00      0.00      0.00     81.00
05:14:43 PM     all     13.33      0.00      3.59      0.00      0.00     83.08
05:14:45 PM     all     14.07      0.00      5.03      0.00      0.00     80.90
05:14:47 PM     all     12.18      0.00      5.08      0.00      0.00     82.74
05:14:49 PM     all     13.27      0.00      4.08      0.00      0.00     82.65
05:14:51 PM     all     16.84      0.00      5.10      0.00      0.00     78.06
05:14:53 PM     all     29.53      0.00      7.77      0.00      0.00     62.69
05:14:55 PM     all     18.00      0.00      6.00      0.00      0.00     76.00
05:14:57 PM     all     20.30      0.00      5.94      0.00      0.00     73.76
05:14:59 PM     all     16.67      0.00      6.77      0.52      0.00     76.04
05:15:01 PM     all     21.00      0.00      9.00      0.00      0.00     70.00
05:15:03 PM     all     23.56      0.00      5.76      0.00      0.00     70.68
05:15:05 PM     all     19.27      0.00      3.65      0.00      0.00     77.08
05:15:07 PM     all     16.06      0.00      4.66      0.00      0.00     79.27
05:15:09 PM     all     20.39      0.00      5.83      0.49      0.00     73.30
05:15:11 PM     all     18.04      0.00      5.67      0.00      0.00     76.29
05:15:13 PM     all     16.24      0.00      6.09      0.51      0.00     77.16
05:15:15 PM     all     20.20      0.00      5.56      0.00      0.00     74.24
05:15:17 PM     all     19.17      0.00      5.18      0.00      0.00     75.65
05:15:19 PM     all     19.47      0.00      4.74      0.00      0.00     75.79
05:15:21 PM     all     18.27      0.00      8.12      0.00      0.00     73.60
05:15:23 PM     all     19.70      0.00      5.56      0.00      0.00     74.75
05:15:25 PM     all     19.07      0.00      5.67      0.00      0.00     75.26
05:15:27 PM     all     17.44      0.00      5.64      0.00      0.00     76.92
05:15:29 PM     all     20.00      0.00      3.50      0.00      0.00     76.50
05:15:31 PM     all     17.35      0.00      7.14      0.00      0.00     75.51
05:15:33 PM     all     18.23      0.00      5.73      0.00      0.00     76.04
05:15:35 PM     all     15.15      0.00      6.06      0.00      0.00     78.79
05:15:37 PM     all     17.09      0.00      6.03      0.00      0.00     76.88
05:15:39 PM     all     16.18      0.00      4.90      0.49      0.00     78.43
05:15:41 PM     all     11.82      0.00      6.40      0.00      0.00     81.77
05:15:43 PM     all     14.72      0.00      4.57      0.00      0.00     80.71
05:15:45 PM     all     14.21      0.00      7.89      0.00      0.00     77.89
05:15:47 PM     all     16.92      0.00      4.62      0.00      0.00     78.46
05:15:49 PM     all     15.31      0.00      6.12      0.00      0.00     78.57
05:15:51 PM     all     15.03      0.00      5.70      0.00      0.00     79.27
05:15:53 PM     all     14.43      0.00      5.15      0.00      0.00     80.41
05:15:55 PM     all     18.18      0.00      3.54      0.00      0.00     78.28
05:15:57 PM     all     17.01      0.00      4.64      0.00      0.00     78.35
05:15:59 PM     all     16.58      0.00      4.66      0.52      0.00     78.24
05:16:01 PM     all     18.09      0.00      5.53      0.00      0.00     76.38
05:16:03 PM     all     12.50      0.00      6.25      0.00      0.00     81.25
05:16:05 PM     all     17.33      0.00      6.44      0.00      0.00     76.24
05:16:07 PM     all     16.33      0.00      4.08      0.00      0.00     79.59
05:16:09 PM     all     17.82      0.00      5.94      0.00      0.00     76.24
05:16:11 PM     all     18.72      0.00      5.91      0.00      0.00     75.37
05:16:13 PM     all     14.87      0.00      6.67      0.00      0.00     78.46
05:16:15 PM     all     18.27      0.00      4.06      0.00      0.00     77.66
05:16:17 PM     all     16.15      0.00      4.17      0.00      0.00     79.69
05:16:19 PM     all     16.33      0.00      5.61      0.00      0.00     78.06
05:16:21 PM     all     15.35      0.00      6.93      0.00      0.00     77.72


05:16:22 PM     all     17.70      0.00      6.19      0.00      0.00     76.11
Average:        all     14.80      0.00      4.75      0.05      0.00     80.40
