Linux 3.19.0-28-generic (storm6) 	04/14/2016 	_x86_64_	(1 CPU)

10:59:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:59:25 PM     all     28.34      0.00      7.49      0.00      0.00     64.17
10:59:27 PM     all     25.91      0.00      9.33      0.00      0.00     64.77
10:59:29 PM     all     32.49      0.00      8.12      0.00      0.00     59.39
10:59:31 PM     all     22.93      0.00      7.80      0.00      0.00     69.27
10:59:33 PM     all     25.79      0.00      7.37      0.00      0.00     66.84
10:59:35 PM     all     21.21      0.00      8.59      0.00      0.00     70.20
10:59:37 PM     all     17.99      0.00      7.94      0.00      0.00     74.07
10:59:39 PM     all     22.61      0.00      8.04      0.00      0.00     69.35
10:59:41 PM     all     22.22      0.00      9.09      0.00      0.00     68.69
10:59:43 PM     all     22.34      0.00      7.45      0.00      0.00     70.21
10:59:45 PM     all     19.59      0.00      6.70      0.52      0.00     73.20
10:59:47 PM     all     20.00      0.00      7.18      0.00      0.00     72.82
10:59:49 PM     all     20.92      0.00      7.65      0.00      0.00     71.43
10:59:51 PM     all     20.51      0.00      7.69      0.00      0.00     71.79
10:59:53 PM     all     18.13      0.00      8.29      0.00      0.00     73.58
10:59:55 PM     all     20.30      0.00      8.12      0.00      0.00     71.57
10:59:57 PM     all     18.50      0.00      8.50      0.00      0.00     73.00
10:59:59 PM     all     18.27      0.00     10.66      0.00      0.00     71.07
11:00:01 PM     all     18.72      0.00      9.09      0.00      0.00     72.19
11:00:03 PM     all     22.39      0.00      6.47      0.00      0.00     71.14
11:00:05 PM     all     16.32      0.00      8.42      0.53      0.00     74.74
11:00:07 PM     all     21.32      0.00      9.64      0.00      0.00     69.04
11:00:09 PM     all     19.60      0.00      9.55      0.00      0.00     70.85
11:00:11 PM     all     17.44      0.00      8.21      0.00      0.00     74.36
11:00:13 PM     all     15.54      0.00      7.25      0.00      0.00     77.20
11:00:15 PM     all     17.28      0.00      6.28      0.00      0.00     76.44
11:00:17 PM     all     17.62      0.00      8.81      0.00      0.00     73.58
11:00:19 PM     all     20.00      0.00      8.72      0.00      0.00     71.28
