Linux 3.19.0-28-generic (storm6) 	04/14/2016 	_x86_64_	(1 CPU)

02:57:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:57:20 PM     all     53.96      0.00     25.25      0.00      0.00     20.79
02:57:22 PM     all     59.09      0.00     21.72      0.00      0.00     19.19
02:57:24 PM     all     54.59      0.00     23.98      0.00      0.00     21.43
02:57:26 PM     all     53.57      0.00     23.98      0.00      0.00     22.45
02:57:28 PM     all     54.31      0.00     23.86      0.00      0.00     21.83
02:57:30 PM     all     54.36      0.00     26.67      0.00      0.00     18.97
02:57:32 PM     all     56.78      0.00     22.61      0.00      0.00     20.60
02:57:34 PM     all     54.55      0.00     25.76      0.00      0.00     19.70
02:57:36 PM     all     55.10      0.00     23.47      0.00      0.00     21.43
02:57:38 PM     all     58.08      0.00     20.71      0.00      0.00     21.21
02:57:40 PM     all     59.13      0.00     21.63      0.00      0.00     19.23
02:57:42 PM     all     54.87      0.00     23.59      0.00      0.00     21.54
02:57:44 PM     all     56.28      0.00     21.61      0.00      0.00     22.11
02:57:46 PM     all     57.29      0.00     20.10      0.00      0.00     22.61
02:57:48 PM     all     50.51      0.00     23.74      0.00      0.00     25.76
02:57:50 PM     all     74.11      0.00     20.81      0.00      0.00      5.08
02:57:52 PM     all     57.95      0.00     19.49      0.00      0.00     22.56
02:57:54 PM     all     55.05      0.00     24.24      0.00      0.00     20.71
02:57:56 PM     all     56.70      0.00     22.16      0.00      0.00     21.13
02:57:58 PM     all     57.87      0.00     22.34      0.00      0.00     19.80
02:58:00 PM     all     53.09      0.00     23.71      0.00      0.00     23.20
02:58:02 PM     all     56.63      0.00     20.92      0.00      0.00     22.45
02:58:04 PM     all     55.56      0.00     21.72      0.00      0.00     22.73
02:58:06 PM     all     51.79      0.00     21.03      0.00      0.00     27.18
02:58:08 PM     all     56.57      0.00     24.24      0.00      0.00     19.19
02:58:10 PM     all     56.92      0.00     22.05      0.00      0.00     21.03
02:58:12 PM     all     53.54      0.00     23.74      0.00      0.00     22.73
02:58:14 PM     all     54.77      0.00     24.62      0.00      0.00     20.60
02:58:16 PM     all     49.75      0.00     26.13      0.00      0.00     24.12
02:58:18 PM     all     54.08      0.00     22.45      0.00      0.00     23.47
02:58:20 PM     all     52.31      0.00     22.56      0.00      0.00     25.13
02:58:22 PM     all     56.28      0.00     20.60      0.00      0.00     23.12
02:58:24 PM     all     54.73      0.00     23.88      0.00      0.00     21.39
02:58:26 PM     all     55.15      0.00     20.62      0.00      0.00     24.23
02:58:28 PM     all     54.04      0.00     23.23      0.00      0.00     22.73
02:58:30 PM     all     56.78      0.00     21.61      0.00      0.00     21.61
