Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

12:35:47 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:38:47 AM     all     18.95      0.00     10.00      0.53      0.00     70.53
12:38:49 AM     all     18.95      0.00     10.00      0.00      0.00     71.05
12:38:51 AM     all     19.79      0.00      9.90      0.00      0.00     70.31
12:38:53 AM     all     22.05      0.00      9.23      0.00      0.00     68.72
12:38:55 AM     all     18.52      0.00      9.52      0.00      0.00     71.96
12:38:57 AM     all     22.28      0.00     13.47      0.00      0.00     64.25
12:38:59 AM     all     23.96      0.00     11.46      0.00      0.00     64.58
12:39:01 AM     all     27.08      0.00      8.85      0.00      0.00     64.06
12:39:03 AM     all     25.13      0.00     13.57      0.00      0.00     61.31
12:39:05 AM     all     27.84      0.00      9.79      0.00      0.00     62.37
12:39:07 AM     all     25.12      0.00     10.84      0.00      0.00     64.04
12:39:09 AM     all     26.00      0.00     11.50      0.00      0.00     62.50
12:39:11 AM     all     21.24      0.00     11.92      0.00      0.00     66.84
12:39:13 AM     all     22.96      0.00     11.73      0.51      0.00     64.80
12:39:15 AM     all     26.50      0.00     12.00      0.00      0.00     61.50
12:39:17 AM     all     21.47      0.00     11.52      0.00      0.00     67.02
12:39:19 AM     all     22.87      0.00     12.77      0.00      0.00     64.36
12:39:21 AM     all     23.40      0.00     12.77      0.00      0.00     63.83
12:39:23 AM     all     25.64      0.00      9.74      0.00      0.00     64.62
12:39:25 AM     all     24.34      0.00     12.17      0.00      0.00     63.49
12:39:27 AM     all     25.26      0.00     10.00      0.00      0.00     64.74
12:39:29 AM     all     24.08      0.00      7.33      0.00      0.00     68.59
12:39:31 AM     all     21.65      0.00     11.86      0.00      0.00     66.49
12:39:33 AM     all     22.28      0.00     11.92      0.00      0.00     65.80
12:39:35 AM     all     23.86      0.00     11.68      0.00      0.00     64.47
12:39:37 AM     all     20.94      0.00     10.47      0.00      0.00     68.59
12:39:39 AM     all     22.51      0.00     10.47      0.00      0.00     67.02
12:39:41 AM     all     21.61      0.00     11.56      0.00      0.00     66.83
12:39:43 AM     all     24.08      0.00      6.81      0.00      0.00     69.11
12:39:45 AM     all     22.92      0.00      8.85      0.00      0.00     68.23
12:39:47 AM     all     21.08      0.00      8.65      0.00      0.00     70.27
12:39:49 AM     all     23.86      0.00     10.15      0.00      0.00     65.99
12:39:51 AM     all     23.74      0.00     13.64      0.00      0.00     62.63
12:39:53 AM     all     24.87      0.00     11.17      0.00      0.00     63.96
12:39:55 AM     all     21.39      0.00     14.43      0.00      0.00     64.18
12:39:57 AM     all     25.85      0.00     10.73      0.00      0.00     63.41
12:39:59 AM     all     20.31      0.00     11.98      0.00      0.00     67.71
12:40:01 AM     all     19.90      0.00     15.71      0.00      0.00     64.40
12:40:03 AM     all     24.74      0.00     12.11      0.53      0.00     62.63
12:40:05 AM     all     23.78      0.00      9.73      0.00      0.00     66.49
12:40:07 AM     all     25.64      0.00     10.77      0.00      0.00     63.59
12:40:09 AM     all     22.22      0.00     12.70      0.00      0.00     65.08
12:40:11 AM     all     24.74      0.00      9.28      0.00      0.00     65.98
12:40:13 AM     all     23.71      0.00     11.34      0.00      0.00     64.95
12:40:15 AM     all     19.25      0.00     12.30      0.00      0.00     68.45
12:40:17 AM     all     26.42      0.00      9.84      0.00      0.00     63.73
12:40:19 AM     all     33.68      0.00      9.33      0.00      0.00     56.99
12:40:21 AM     all     28.57      0.00     12.76      0.00      0.00     58.67
12:40:23 AM     all     23.94      0.00     10.64      0.00      0.00     65.43
12:40:25 AM     all     28.87      0.00      9.28      0.00      0.00     61.86
12:40:27 AM     all     26.46      0.00     13.76      0.00      0.00     59.79
12:40:29 AM     all     24.23      0.00      9.79      0.00      0.00     65.98
12:40:31 AM     all     26.02      0.00      9.69      0.00      0.00     64.29
